Warframe,230410
Football_Manager_2022,1569040
Dead_by_Daylight,381210
Sid_Meiers_Civilization_VI,289070
Hearts_of_Iron_IV,394360
New_World,1063730
Tom_Clancys_Rainbow_Six_Siege,359550
EA_SPORTS_FIFA_23,1811260
ELDEN_RING,1245620
YuGiOh_Master_Duel,1449850
Brotato,1942280
DayZ,221100
Total_War_WARHAMMER_III,1142710
Stardew_Valley,413150
Fallout_4,377160
Need_for_Speed_Heat,1222680
7_Days_to_Die,251570
Euro_Truck_Simulator_2,227300
Mount__Blade_II_Bannerlord,261550
Garrys_Mod,4000
MONSTER_HUNTER_RISE,1446780
The_Elder_Scrolls_V_Skyrim_Special_Edition,489830
Sid_Meiers_Civilization_V,8930
Red_Dead_Redemption_2,1174180
Forza_Horizon_4,1293830
Cities_Skylines,255710